0.5 qid:1 1:62742.4095198029 2:2.0 3:2.0 4:0.915824257890843 5:0.016020671834625324 6:0.0
0.0 qid:1 1:62742.4095198029 2:2.0 3:2.0 4:0.0012908088379184114 5:0.014987080103359173 6:0.0
0.0 qid:1 1:62742.4095198029 2:2.0 3:2.0 4:0.004940056844309179 5:0.014987080103359173 6:0.0
0.0 qid:1 1:62742.4095198029 2:2.0 3:2.0 4:0.00188546371008799 5:0.03772609819121447 6:0.0
0.0 qid:1 1:62742.4095198029 2:2.0 3:2.0 4:9.178903908605398E-4 5:5.167958656330749E-4 6:0.0
0.0 qid:2 1:48862.0266435776 2:2.0 3:3.0 4:0.020532555945868062 5:0.0015503875968992248 6:0.0
0.0 qid:2 1:1.00896618249596 2:0.0 3:0.0 4:0.03058709180753855 5:0.006201550387596899 6:0.0
0.0 qid:2 1:48862.0266435776 2:2.0 3:3.0 4:0.0090585895083874 5:5.167958656330749E-4 6:0.0
0.0 qid:2 1:48862.0266435776 2:2.0 3:3.0 4:0.07169299492630653 5:5.167958656330749E-4 6:0.0
0.0 qid:2 1:48862.0266435776 2:2.0 3:3.0 4:0.008943813712123418 5:0.0020671834625322996 6:0.0
0.0 qid:2 1:1.00896618249596 2:0.0 3:0.0 4:0.006208139716383364 5:5.167958656330749E-4 6:0.0
0.0 qid:2 1:48862.0266435776 2:2.0 3:3.0 4:0.01254968408382172 5:0.0036175710594315244 6:0.0
0.0 qid:2 1:1.00896618249596 2:0.0 3:0.0 4:0.0013980119887427314 5:0.03772609819121447 6:0.0
0.0 qid:2 1:1.00896618249596 2:0.0 3:0.0 4:0.0026359907982112336 5:0.004651162790697674 6:0.0
0.0 qid:2 1:1.00896618249596 2:0.0 3:0.0 4:0.0014029343755538508 5:5.167958656330749E-4 6:0.0
0.02857142857142857 qid:3 1:48.127309144277 2:1.0 3:0.0 4:4.43167379883916E-4 5:0.0015503875968992248 6:0.0
0.0 qid:3 1:48.127309144277 2:1.0 3:0.0 4:5.369715588056978E-4 5:0.002583979328165375 6:0.0
0.0 qid:3 1:2.95847587618103 2:1.0 3:1.0 4:0.004054960030174875 5:0.014987080103359173 6:0.0
0.0 qid:3 1:2.95847587618103 2:1.0 3:1.0 4:5.369715588056978E-4 5:0.002583979328165375 6:0.0
0.0 qid:3 1:2.95847587618103 2:1.0 3:1.0 4:0.0010312856723898645 5:0.0010335917312661498 6:0.0
0.0 qid:3 1:2.95847587618103 2:1.0 3:1.0 4:0.0011803543446354857 5:5.167958656330749E-4 6:0.0
0.0 qid:3 1:2.95847587618103 2:1.0 3:1.0 4:6.322171731024379E-4 5:5.167958656330749E-4 6:0.0
0.0 qid:4 1:32603.4958743836 2:1.0 3:1.0 4:0.004734461215733377 5:0.002583979328165375 6:0.0
0.0 qid:4 1:32603.4958743836 2:1.0 3:1.0 4:0.007443796040904038 5:5.167958656330749E-4 6:0.0
0.0 qid:4 1:32603.4958743836 2:1.0 3:1.0 4:0.007492076818296404 5:0.006201550387596899 6:0.0
